"","id","year","title"
"1",29466983,2018,"Multidrug-resistant tuberculosis treatment adherence in migrants: a systematic review and meta-analysis."
"2",29421440,2018,"Evaluation of interferon-gamma release assays in extrasanguinous body fluids for diagnosing tuberculosis: A systematic review and meta-analysis."
"3",28838977,2018,"Risk of tuberculosis in patients with solid cancers and haematological malignancies: a systematic review and meta-analysis."
"4",28625793,2018,"Comparison of sputum collection methods for tuberculosis diagnosis: a systematic review and pairwise and network meta-analysis."
"5",27958360,2018,"Diagnostic test accuracy of loop-mediated isothermal amplification assay for Mycobacterium tuberculosis: systematic review and meta-analysis."
"6",29441844,2018,"Adjunctive therapy with V-5 Immunitor (V5) for the treatment of tuberculosis patients: a meta-analysis."
"7",27220068,2018,"Accurate diagnosis of latent tuberculosis in children, people who are immunocompromised or at risk from immunosuppression and recent arrivals from countries with a high incidence of tuberculosis: systematic review and economic evaluation."
"8",27155179,2018,"Latent tuberculosis diagnostic tests to predict longitudinal tuberculosis during dialysis: a meta-analysis."
"9",29068986,2017,"Association between IRGM polymorphisms and tuberculosis risk: A meta-analysis."
"10",28982226,2017,"Transmission of Mycobacterium Tuberculosis in Households and the Community: A Systematic Review and Meta-Analysis."
"11",28902922,2017,"Molecular clustering of patients with diabetes and pulmonary tuberculosis: A systematic review and meta-analysis."
"12",28761946,2017,"Treatment of Latent Tuberculosis Infection: An Updated Network Meta-analysis."
"13",28700044,2017,"Prevalence of and risk factors for multidrug-resistant tuberculosis in Iran and its neighboring countries: systematic review and meta-analysis."
"14",28495364,2017,"Moxifloxacin is an effective and safe candidate agent for tuberculosis treatment: a meta-analysis."
"15",28320336,2017,"Multidrug resistant tuberculosis in Ethiopian settings and its association with previous history of anti-tuberculosis treatment: a systematic review and meta-analysis."
"16",28274215,2017,"Comparing interferon-gamma release assays with tuberculin skin test for identifying latent tuberculosis infection that progresses to active tuberculosis: systematic review and meta-analysis."
"17",28249638,2017,"Comparison of QuantiFERON-TB Gold In-Tube (QFT-GIT) and tuberculin skin test (TST) for diagnosis of latent tuberculosis in haemodialysis (HD) patients: a meta-analysis of κ estimates."
"18",28139494,2017,"The diagnostic value of polymerase chain reaction for Mycobacterium tuberculosis to distinguish intestinal tuberculosis from crohn's disease: A meta-analysis."
"19",28096657,2017,"Vitamin D deficiency and the risk of tuberculosis: a meta-analysis."
"20",28063922,2017,"Efficacy and safety of a four-drug fixed-dose combination regimen versus separate drugs for treatment of pulmonary tuberculosis: a systematic review and meta-analysis."
"21",27964822,2017,"Mortality in children diagnosed with tuberculosis: a systematic review and meta-analysis."
"22",27873510,2017,"Certain Polymorphisms in SP110 Gene Confer Susceptibility to Tuberculosis: A Comprehensive Review and Updated Meta-Analysis."
"23",27598345,2017,"Sex Differences in Tuberculosis Burden and Notifications in Low- and Middle-Income Countries: A Systematic Review and Meta-analysis."
"24",27455053,2017,"The Effectiveness and Safety of Fluoroquinolone-Containing Regimen as a First-Line Treatment for Drug-Sensitive Pulmonary Tuberculosis: A Systematic Review and Meta-Analysis."
