"","id","year","title"
"1",28604170,2018,"Efficacy of Mycobacterium vaccae immunotherapy for patients with tuberculosis: A systematic review and meta-analysis."
"2",27220068,2018,"Accurate diagnosis of latent tuberculosis in children, people who are immunocompromised or at risk from immunosuppression and recent arrivals from countries with a high incidence of tuberculosis: systematic review and economic evaluation."
"3",28957400,2017,"HIV and tuberculosis co-infection among migrants in Europe: A systematic review on the prevalence, incidence and mortality."
"4",28763500,2017,"Child contact management in high tuberculosis burden countries: A mixed-methods systematic review."
"5",28700044,2017,"Prevalence of and risk factors for multidrug-resistant tuberculosis in Iran and its neighboring countries: systematic review and meta-analysis."
"6",28063922,2017,"Efficacy and safety of a four-drug fixed-dose combination regimen versus separate drugs for treatment of pulmonary tuberculosis: a systematic review and meta-analysis."
"7",27964822,2017,"Mortality in children diagnosed with tuberculosis: a systematic review and meta-analysis."
"8",27884842,2017,"Predictors of in-hospital mortality among patients with pulmonary tuberculosis: a protocol of systematic review and meta-analysis of observational studies."
"9",27780217,2017,"The Tuberculosis Cascade of Care in India's Public Sector: A Systematic Review and Meta-analysis."
"10",27455053,2017,"The Effectiveness and Safety of Fluoroquinolone-Containing Regimen as a First-Line Treatment for Drug-Sensitive Pulmonary Tuberculosis: A Systematic Review and Meta-Analysis."
"11",27127322,2017,"Bedaquiline versus placebo for management of multiple drug-resistant tuberculosis: A systematic review."
"12",27599332,2016,"Primary Care Screening and Treatment for Latent Tuberculosis Infection in Adults: Evidence Report and Systematic Review for the US Preventive Services Task Force."
"13",27007773,2016,"Detection of lipoarabinomannan (LAM) in urine is an independent predictor of mortality risk in patients receiving treatment for HIV-associated tuberculosis in sub-Saharan Africa: a systematic review and meta-analysis."
"14",26993789,2016,"Performance of interferon-γ release assays in the diagnosis of confirmed active tuberculosis in immunocompetent children: a new systematic review and meta-analysis."
"15",26969306,2016,"Health-related quality of life and its association with medication adherence in active pulmonary tuberculosis- a systematic review of global literature with focus on South Africa."
"16",26905025,2016,"Moxifloxacin and gatifloxacin for initial therapy of tuberculosis: a meta-analysis of randomized clinical trials."
"17",26551023,2016,"Isoniazid Prophylactic Therapy for the Prevention of Tuberculosis in HIV Infected Adults: A Systematic Review and Meta-Analysis of Randomized Trials."
"18",26455847,2016,"The experience of patients living with human-immunodeficiency virus/tuberculosis co-infection: a systematic review of qualitative evidence protocol."
"19",26351306,2016,"Effects of MVA85A vaccine on tuberculosis  challenge in animals: systematic review."
"20",26035557,2016,"Exposure to second-hand smoke and the risk of tuberculosis in children and adults: a systematic review and meta-analysis of 18 observational studies."
"21",26000446,2016,"Early versus Delayed Antiretroviral Therapy for HIV and Tuberculosis Co-Infected Patients: A Systematic Review and Meta-Analysis of Randomized Controlled Trials."
"22",25809770,2016,"Tuberculosis and chronic respiratory disease: a systematic review."
"23",25799046,2016,"Genetic mutations associated with isoniazid resistance in Mycobacterium tuberculosis: a systematic review."
