"","id","year","title"
"1",27015211,2016,"Accuracy of the Bronchoalveolar Lavage Enzyme-Linked Immunospot Assay for the Diagnosis of Pulmonary Tuberculosis: A Meta-analysis."
"2",26503802,2016,"Body Fluid Interferon-γ Release Assay for Diagnosis of Extrapulmonary Tuberculosis in Adults: A Systematic Review and Meta-Analysis."
"3",26436408,2016,"Accuracy of enzyme-linked immunospot assay for diagnosis of pleural tuberculosis: a meta-analysis."
"4",23068425,2013,"Tests for latent tuberculosis in people with ESRD: a systematic review."
"5",22077219,2012,"Interferon gamma release assay in diagnosis of pediatric tuberculosis: a meta-analysis."
"6",21857806,2011,"Commercial serological tests for the diagnosis of active pulmonary and extrapulmonary tuberculosis: an updated systematic review and meta-analysis."
"7",21669030,2011,"Interferon-gamma release assays and childhood tuberculosis: systematic review and meta-analysis."
"8",17675320,2007,"A systematic review of commercial serological antibody detection tests for the diagnosis of extrapulmonary tuberculosis."
"9",17564490,2007,"Commercial serological antibody detection tests for the diagnosis of pulmonary tuberculosis: a systematic review."
"10",29607177,NA,"Association of serum leptin levels and pulmonary tuberculosis: a meta-analysis."
