"","id","year","title"
"1",28604170,2018,"Efficacy of Mycobacterium vaccae immunotherapy for patients with tuberculosis: A systematic review and meta-analysis."
"2",28402396,2018,"Comparing the Efficacy of Drug Regimens for Pulmonary Tuberculosis: Meta-analysis of Endpoints in Early-Phase Clinical Trials."
"3",28331031,2018,"An updated systematic review and meta-analysis for treatment of multidrug-resistant tuberculosis."
"4",28203783,2018,"Effect of Intermittency on Treatment Outcomes in Pulmonary Tuberculosis: An Updated Systematic Review and Metaanalysis."
"5",28761946,2017,"Treatment of Latent Tuberculosis Infection: An Updated Network Meta-analysis."
"6",28495364,2017,"Moxifloxacin is an effective and safe candidate agent for tuberculosis treatment: a meta-analysis."
"7",28399802,2017,"Efficacy and completion rates of rifapentine and isoniazid (3HP) compared to other treatment regimens for latent tuberculosis infection: a systematic review with network meta-analyses."
"8",28178199,2017,"Combined Use of Delamanid and Bedaquiline to Treat Multidrug-Resistant and Extensively Drug-Resistant Tuberculosis: A Systematic Review."
"9",28063922,2017,"Efficacy and safety of a four-drug fixed-dose combination regimen versus separate drugs for treatment of pulmonary tuberculosis: a systematic review and meta-analysis."
"10",27388449,2017,"European policies on tuberculosis prevention in healthcare workers: Which role for BCG? A systematic review."
"11",27334498,2017,"Efficacy and safety profile of linezolid in the treatment of multidrug-resistant (MDR) and extensively drug-resistant (XDR) tuberculosis: a systematic review and meta-analysis."
"12",27298314,2017,"What are the most efficacious treatment regimens for isoniazid-resistant tuberculosis? A systematic review and network meta-analysis."
"13",27127322,2017,"Bedaquiline versus placebo for management of multiple drug-resistant tuberculosis: A systematic review."
"14",27029542,2017,"Comparison of clinical efficacy and safety among three surgical approaches for the treatment of spinal tuberculosis: a meta-analysis."
"15",26970263,2017,"Anti-tubercular therapy for intraocular tuberculosis: A systematic review and meta-analysis."
"16",27069721,2016,"Ayurvedic management of pulmonary tuberculosis: A systematic review."
"17",26985890,2016,"Carbapenems to Treat Multidrug and Extensively Drug-Resistant Tuberculosis: A Systematic Review."
"18",26905025,2016,"Moxifloxacin and gatifloxacin for initial therapy of tuberculosis: a meta-analysis of randomized clinical trials."
"19",26669635,2016,"Effects of Fluroquinolones in Newly Diagnosed, Sputum-Positive Tuberculosis Therapy: A Systematic Review and Network Meta-Analysis."
"20",26612299,2016,"Adjuvant Efficacy of Nutrition Support During Pulmonary Tuberculosis Treating Course: Systematic Review and Meta-analysis."
