"","id","year","title"
"1",25818340,2018,"Tuberculosis in South Asian communities in the UK: a systematic review of the literature."
"2",28430796,2017,"Prevalence and associated factors of tuberculosis and diabetes mellitus comorbidity: A systematic review."
"3",27598345,2017,"Sex Differences in Tuberculosis Burden and Notifications in Low- and Middle-Income Countries: A Systematic Review and Meta-analysis."
"4",25807385,2016,"Factors associated with patient and provider delays for tuberculosis diagnosis and treatment in Asia: a systematic review and meta-analysis."
"5",26786217,2016,"The extrapulmonary dissemination of tuberculosis: A meta-analysis."
"6",25877346,2015,"Toll-like receptor polymorphisms and tuberculosis susceptibility: A comprehensive meta-analysis."
"7",24517949,2015,"[Meta-analysis on the co-morbidity rate between tuberculosis and diabetes mellitus in China]."
"8",24900921,2014,"Gender-related barriers and delays in accessing tuberculosis diagnostic and treatment services: a systematic review of qualitative studies."
"9",24429308,2014,"A systematic review of global cultural variations in knowledge, attitudes and health responses to tuberculosis stigma."
"10",24021245,2014,"Systematic review and meta-analysis of the current evidence on the duration of protection by bacillus Calmette-Guérin vaccination against tuberculosis."
"11",23648258,2014,"[Meta analysis on the co-infection between Mycobacterium tuberculosis and HIV/AIDS in China]."
"12",23522098,2013,"Co-infection of tuberculosis and parasitic diseases in humans: a systematic review."
"13",21496360,2011,"A systematic review of risk factors for death in adults during and after tuberculosis treatment."
"14",20486998,2010,"Tuberculosis of the oral cavity: a systematic review."
"15",19742330,2010,"Treatment outcomes of multidrug-resistant tuberculosis: a systematic review and meta-analysis."
"16",19105874,2009,"Risk factors associated with recent transmission of tuberculosis: systematic review and meta-analysis."
"17",18419882,2008,"Risk factors for clustering of tuberculosis cases: a systematic review of population-based molecular epidemiology studies."
"18",18245055,2008,"Low serum vitamin D levels and tuberculosis: a systematic review and meta-analysis."
"19",18194573,2008,"A systematic review of delay in the diagnosis and treatment of tuberculosis."
"20",17676945,2007,"Patient adherence to tuberculosis treatment: a systematic review of qualitative research."
"21",17325294,2007,"Risk of tuberculosis from exposure to tobacco smoke: a systematic review and meta-analysis."
"22",16254056,2006,"Risk factors for multidrug resistant tuberculosis in Europe: a systematic review."
"23",16135735,2005,"Tuberculosis treatment outcomes in Europe: a systematic review."
"24",29740001,NA,"Predictors of In-Hospital Mortality among Patients with Pulmonary Tuberculosis: A Systematic Review and Meta-analysis."
"25",29338805,NA,"Risk factors for infectiousness of patients with tuberculosis: a systematic review and meta-analysis."
"26",27891362,NA,"Health Seeking Behaviour among Tuberculosis Patients in India: A Systematic Review."
"27",27819962,NA,"Risk factors for tuberculosis after highly active antiretroviral treatment (HAART) initiation among HIV patients: A systematic review."
