"","id","year","title"
"1",28249638,2017,"Comparison of QuantiFERON-TB Gold In-Tube (QFT-GIT) and tuberculin skin test (TST) for diagnosis of latent tuberculosis in haemodialysis (HD) patients: a meta-analysis of κ estimates."
"2",27749923,2017,"Differential Adverse Event Profiles Associated with BCG as a Preventive Tuberculosis Vaccine or Therapeutic Bladder Cancer Vaccine Identified by Comparative Ontology-Based VAERS and Literature Meta-Analysis."
"3",27388449,2017,"European policies on tuberculosis prevention in healthcare workers: Which role for BCG? A systematic review."
"4",27121635,2017,"Tuberculin and QuantiFERON-TB-Gold tests for latent tuberculosis: a meta-analysis."
"5",26351306,2016,"Effects of MVA85A vaccine on tuberculosis  challenge in animals: systematic review."
"6",25376466,2016,"Screening of latent tuberculosis infection by interferon-γ release assays in rheumatic patients: a systemic review and meta-analysis."
"7",25670962,2015,"Tuberculin skin test and Quantiferon test agreement and influencing factors in tuberculosis screening of healthcare workers: a systematic review and meta-analysis."
"8",24336911,2015,"Protection by BCG vaccine against tuberculosis: a systematic review of randomized controlled trials."
"9",25097193,2014,"Effect of BCG vaccination against Mycobacterium tuberculosis infection in children: systematic review and meta-analysis."
"10",24021245,2014,"Systematic review and meta-analysis of the current evidence on the duration of protection by bacillus Calmette-Guérin vaccination against tuberculosis."
"11",23068425,2013,"Tests for latent tuberculosis in people with ESRD: a systematic review."
"12",22077219,2012,"Interferon gamma release assay in diagnosis of pediatric tuberculosis: a meta-analysis."
"13",21030451,2011,"Interferon-γ release assays for the diagnosis of latent Mycobacterium tuberculosis infection: a systematic review and meta-analysis."
"14",20077739,2010,"[A systematic review on the protective efficacy of BCG against children tuberculosis meningitis and millet tuberculosis]."
"15",18593687,2008,"Systematic review: T-cell-based assays for the diagnosis of latent tuberculosis infection: an update."
"16",17266837,2007,"A systematic review of rapid diagnostic tests for the detection of tuberculosis infection."
"17",16616560,2006,"Effect of BCG vaccination on childhood tuberculous meningitis and miliary tuberculosis worldwide: a meta-analysis and assessment of cost-effectiveness."
"18",15567126,2004,"Interferon-gamma assays in the immunodiagnosis of tuberculosis: a systematic review."
"19",11010824,2001,"Preventing tuberculosis with bacillus Calmette-Guérin vaccine: a meta-analysis of the literature."
