"","id","year","title"
"1",28951522,2018,"IL-10 -1082 A>G (rs1800896) polymorphism confers susceptibility to pulmonary tuberculosis in Caucasians but not in Asians and Africans: a meta-analysis."
"2",26330006,2016,"Lack of Association Between the IL1B (-511 and +3954), IL1RN VNTR Polymorphisms and Tuberculosis Risk: A Meta-analysis."
"3",26285937,2016,"Retraction Note to: IL-18 genetic polymorphisms may contribute to the pathogenesis of tuberculosis among Asians: a meta-analysis of case-control studies."
"4",26256970,2016,"IL-10 Polymorphisms and Tuberculosis Susceptibility: An Updated Meta-Analysis."
"5",26030829,2016,"Interleukin-10 promoter gene polymorphisms and susceptibility to tuberculosis: a meta-analysis."
"6",26169021,2015,"IL-1β+3953C/T, -511T/C and IL-6 -174C/G polymorphisms in association with tuberculosis susceptibility: A meta-analysis."
"7",24993150,2015,"Diagnostic accuracy of IL-2 for the diagnosis of latent tuberculosis: a systematic review and meta-analysis."
"8",24969483,2015,"IL-18 genetic polymorphisms may contribute to the pathogenesis of tuberculosis among Asians: a meta-analysis of case-control studies."
"9",24365584,2015,"Association between IL12B polymorphisms and tuberculosis risk: a meta-analysis."
"10",24523896,2014,"Association between IL-10 gene polymorphisms and susceptibility of tuberculosis: evidence based on a meta-analysis."
"11",24033965,2014,"Interleukin-18 promoter gene -607C/A polymorphism and tuberculosis risk: a meta-analysis."
"12",21909406,2012,"Mycobacterium vaccae as adjuvant therapy to anti-tuberculosis chemotherapy in never-treated tuberculosis patients: a meta-analysis."
"13",21756510,2011,"Interleukin-10 polymorphisms and tuberculosis susceptibility: a meta-analysis."
"14",18414898,2008,"IFNG +874T/A, IL10 -1082G/A and TNF -308G/A polymorphisms in association with tuberculosis susceptibility: a meta-analysis study."
"15",16466032,2006,"Treatment of latent tuberculosis in persons at risk for multidrug-resistant tuberculosis: systematic review."
"16",29933861,NA,"Interleukin-17 A and F gene polymorphisms affect the risk of tuberculosis: An updated meta-analysis."
"17",29297452,NA,"Association between interleukin-17 genetic polymorphisms and tuberculosis susceptibility: an updated meta-analysis."
"18",29225476,NA,"Association between the IL-6 gene polymorphism and tuberculosis risk: a meta-analysis."
