"","id","year","title"
"1",28720611,2018,"Prevalence and risk factors of latent tuberculosis infection in Africa: a systematic review and meta-analysis protocol."
"2",28601832,2018,"Global prevalence of diabetes mellitus in patients with tuberculosis: a systematic review and meta-analysis protocol."
"3",28088237,2018,"Association between diabetes mellitus and multi-drug-resistant tuberculosis: a protocol for a systematic review and meta-analysis."
"4",27958360,2018,"Diagnostic test accuracy of loop-mediated isothermal amplification assay for Mycobacterium tuberculosis: systematic review and meta-analysis."
"5",28027993,2017,"Tuberculosis and hypertension-a systematic review of the literature."
"6",27852420,2017,"Prisoners co-infected with tuberculosis and HIV: a systematic review."
"7",27830524,2017,"Association of HIV infection with extrapulmonary tuberculosis: a systematic review."
"8",27622293,2017,"The Clinical Usefulness of Tuberculin Skin Test versus Interferon-Gamma Release Assays for Diagnosis of Latent Tuberculosis in HIV Patients: A Meta-Analysis."
"9",27453237,2017,"Notification Rate of Tuberculosis among Migrants in China 2005-2014: A Systematic Review and Meta-analysis."
"10",27149116,2017,"Latent Tuberculosis in Pregnancy: A Systematic Review."
"11",27121635,2017,"Tuberculin and QuantiFERON-TB-Gold tests for latent tuberculosis: a meta-analysis."
"12",25868030,2016,"Childhood tuberculosis and exposure to indoor air pollution: a systematic review and meta-analysis."
"13",25812013,2016,"Comparative meta-analysis of tuberculosis contact investigation interventions in eleven high burden countries."
"14",25807385,2016,"Factors associated with patient and provider delays for tuberculosis diagnosis and treatment in Asia: a systematic review and meta-analysis."
"15",25717042,2016,"Impact of x-ray screening programmes for active tuberculosis in homeless populations: a systematic review of original studies."
"16",25670962,2015,"Tuberculin skin test and Quantiferon test agreement and influencing factors in tuberculosis screening of healthcare workers: a systematic review and meta-analysis."
"17",24903801,2015,"Indoor air pollution from solid fuel and tuberculosis: a systematic review and meta-analysis."
"18",23652030,2014,"A systematic review of the association between pulmonary tuberculosis and the development of chronic airflow obstruction in adults."
"19",22613404,2012,"Social behaviour risk factors for drug resistant tuberculosis in mainland China: a meta-analysis."
"20",21228420,2012,"Interferon-gamma release assays for tuberculosis screening of healthcare workers: a systematic review."
"21",21615930,2011,"Patient medical costs for tuberculosis treatment and impact on adherence in China: a systematic review."
"22",21496360,2011,"A systematic review of risk factors for death in adults during and after tuberculosis treatment."
"23",20570541,2011,"Time and spatial distribution of multidrug-resistant tuberculosis among Chinese people, 1981-2006: a systematic review."
"24",17339619,2007,"Meta-analysis: new tests for the diagnosis of latent tuberculosis infection: areas of uncertainty and recommendations for research."
"25",29885021,NA,"Prevalence of Bovine Tuberculosis in India: A systematic review and meta-analysis."
"26",28439071,NA,"Diabetes mellitus and the risk of multidrug resistant tuberculosis: a meta-analysis."
