"","id","year","title"
"1",29421440,2018,"Evaluation of interferon-gamma release assays in extrasanguinous body fluids for diagnosing tuberculosis: A systematic review and meta-analysis."
"2",28720611,2018,"Prevalence and risk factors of latent tuberculosis infection in Africa: a systematic review and meta-analysis protocol."
"3",27220068,2018,"Accurate diagnosis of latent tuberculosis in children, people who are immunocompromised or at risk from immunosuppression and recent arrivals from countries with a high incidence of tuberculosis: systematic review and economic evaluation."
"4",27155179,2018,"Latent tuberculosis diagnostic tests to predict longitudinal tuberculosis during dialysis: a meta-analysis."
"5",28274215,2017,"Comparing interferon-gamma release assays with tuberculin skin test for identifying latent tuberculosis infection that progresses to active tuberculosis: systematic review and meta-analysis."
"6",28249638,2017,"Comparison of QuantiFERON-TB Gold In-Tube (QFT-GIT) and tuberculin skin test (TST) for diagnosis of latent tuberculosis in haemodialysis (HD) patients: a meta-analysis of κ estimates."
"7",27622293,2017,"The Clinical Usefulness of Tuberculin Skin Test versus Interferon-Gamma Release Assays for Diagnosis of Latent Tuberculosis in HIV Patients: A Meta-Analysis."
"8",27450543,2017,"Accuracy of the interferon-γ release assay for the diagnosis of active tuberculosis among HIV-seropositive individuals: a systematic review and meta-analysis."
"9",27450009,2017,"A systematic review of economic models used to assess the cost-effectiveness of strategies for identifying latent tuberculosis in high-risk groups."
"10",27373289,2017,"[A Meta-analysis of the accuracy of interferon-γ release assays in differentiating intestinal tuberculosis from Crohn's disease in Asia]."
"11",27149116,2017,"Latent Tuberculosis in Pregnancy: A Systematic Review."
"12",27121635,2017,"Tuberculin and QuantiFERON-TB-Gold tests for latent tuberculosis: a meta-analysis."
"13",27039307,2017,"Interferon-Gamma Release Assays for the Diagnosis of Tuberculosis: A Systematic Review and Meta-analysis."
"14",25382336,2017,"Association between interferon gamma receptor 1-56C/T gene polymorphism and tuberculosis susceptibility: a meta-analysis."
"15",27599332,2016,"Primary Care Screening and Treatment for Latent Tuberculosis Infection in Adults: Evidence Report and Systematic Review for the US Preventive Services Task Force."
"16",27021762,2016,"Methods Used in Economic Evaluations of Tuberculin Skin Tests and Interferon Gamma Release Assays for the Screening of Latent Tuberculosis Infection: A Systematic Review."
"17",26993789,2016,"Performance of interferon-γ release assays in the diagnosis of confirmed active tuberculosis in immunocompetent children: a new systematic review and meta-analysis."
"18",26822772,2016,"Correction for Aggarwal et al., Interferon Gamma Release Assays for Diagnosis of Pleural Tuberculosis: a Systematic Review and Meta-Analysis."
"19",26659461,2016,"Effect of immunosuppressive therapy on interferon γ release assay for latent tuberculosis screening in patients with autoimmune diseases: a systematic review and meta-analysis."
"20",26515270,2016,"Interferon gamma release assays for monitoring the response to treatment for tuberculosis: A systematic review."
"21",26503802,2016,"Body Fluid Interferon-γ Release Assay for Diagnosis of Extrapulmonary Tuberculosis in Adults: A Systematic Review and Meta-Analysis."
"22",26436408,2016,"Accuracy of enzyme-linked immunospot assay for diagnosis of pleural tuberculosis: a meta-analysis."
"23",26129810,2016,"A Systematic Review of Studies Evaluating the Cost Utility of Screening High-Risk Populations for Latent Tuberculosis Infection."
"24",25994163,2016,"Interferon Gamma Release Assays for Diagnosis of Pleural Tuberculosis: a Systematic Review and Meta-Analysis."
"25",25851739,2016,"Latent tuberculosis infection screening in immigrants to low-incidence countries: a meta-analysis."
"26",25376466,2016,"Screening of latent tuberculosis infection by interferon-γ release assays in rheumatic patients: a systemic review and meta-analysis."
"27",25216838,2015,"Chest radiography for active tuberculosis case finding in the homeless: a systematic review and meta-analysis."
"28",24993150,2015,"Diagnostic accuracy of IL-2 for the diagnosis of latent tuberculosis: a systematic review and meta-analysis."
"29",24970465,2015,"Interferon-γ release assay for the diagnosis of latent Mycobacterium tuberculosis infection in children younger than 5 years: a meta-analysis."
"30",24910240,2015,"Systematic review with meta-analysis: accuracy of interferon-gamma releasing assay and anti-Saccharomyces cerevisiae antibody in differentiating intestinal tuberculosis from Crohn's disease in Asians."
"31",25097193,2014,"Effect of BCG vaccination against Mycobacterium tuberculosis infection in children: systematic review and meta-analysis."
"32",24788998,2014,"Diagnostic accuracy of chest radiography for the diagnosis of tuberculosis (TB) and its role in the detection of latent TB infection: a systematic review."
"33",24564486,2014,"Systematic review and meta-analysis on the utility of Interferon-gamma release assays for the diagnosis of Mycobacterium tuberculosis infection in children: a 2013 update."
"34",24564378,2014,"Tuberculosis in childhood: a systematic review of national and international guidelines."
"35",24482693,2014,"Diagnostic accuracy of interferon gamma-induced protein 10 for tuberculosis: a meta-analysis."
"36",24307809,2014,"Effectiveness of interferon-gamma release assays for differentiating intestinal tuberculosis from Crohn's disease: a meta-analysis."
"37",23068425,2013,"Tests for latent tuberculosis in people with ESRD: a systematic review."
"38",22833244,2013,"Evaluation of interferon-gamma release assays for the diagnosis of tuberculosis: an updated meta-analysis."
"39",22684265,2013,"Association of polymorphism +874 A/T of interferon-γ and susceptibility to the development of tuberculosis: meta-analysis."
"40",22487051,2013,"Interferon-gamma release assays for the diagnosis of extrapulmonary tuberculosis: a systematic review and meta-analysis."
"41",23058005,2012,"Interferon-γ release assays for the diagnosis of Mycobacterium tuberculosis infection in children: a systematic review and meta-analysis."
"42",22537915,2012,"Interferon-gamma release assays for the tuberculosis serial testing of health care workers: a systematic review."
"43",22403663,2012,"Interferon-γ release assays for the diagnosis of tuberculosis and tuberculosis infection in HIV-infected adults: a systematic review and meta-analysis."
"44",22077219,2012,"Interferon gamma release assay in diagnosis of pediatric tuberculosis: a meta-analysis."
"45",22069472,2012,"Interferon-gamma release assays for the diagnosis of active tuberculosis in HIV-infected patients: a systematic review and meta-analysis."
"46",21864611,2012,"The +874T/A polymorphism in the interferon-γ gene and tuberculosis risk: an update by meta-analysis."
"47",21846592,2012,"Predictive value of interferon-γ release assays for incident active tuberculosis: a systematic review and meta-analysis."
"48",21228420,2012,"Interferon-gamma release assays for tuberculosis screening of healthcare workers: a systematic review."
"49",21996694,2011,"Interferon-γ release assays for active pulmonary tuberculosis diagnosis in adults in low- and middle-income countries: systematic review and meta-analysis."
"50",21715206,2011,"Adjunctive therapy with interferon-gamma for the treatment of pulmonary tuberculosis: a systematic review."
"51",21669030,2011,"Interferon-gamma release assays and childhood tuberculosis: systematic review and meta-analysis."
"52",21427627,2011,"The utility of an interferon gamma release assay for diagnosis of latent tuberculosis infection and disease in children: a systematic review and meta-analysis."
"53",21239993,2011,"Interferon-gamma release assays for the diagnosis of latent tuberculosis infection in HIV-infected individuals: a systematic review and meta-analysis."
"54",21030451,2011,"Interferon-γ release assays for the diagnosis of latent Mycobacterium tuberculosis infection: a systematic review and meta-analysis."
"55",20847080,2011,"Interferon-γ release assays for the diagnosis of active tuberculosis: a systematic review and meta-analysis."
"56",20335301,2010,"Systematic review of interferon-gamma release assays in tuberculosis: focus on likelihood ratios."
"57",20041113,2010,"Within-subject variability of interferon-g assay results for tuberculosis and boosting effect of tuberculin skin testing: a systematic review."
"58",18593687,2008,"Systematic review: T-cell-based assays for the diagnosis of latent tuberculosis infection: an update."
"59",18414898,2008,"IFNG +874T/A, IL10 -1082G/A and TNF -308G/A polymorphisms in association with tuberculosis susceptibility: a meta-analysis study."
"60",17339619,2007,"Meta-analysis: new tests for the diagnosis of latent tuberculosis infection: areas of uncertainty and recommendations for research."
"61",17266837,2007,"A systematic review of rapid diagnostic tests for the detection of tuberculosis infection."
"62",15567126,2004,"Interferon-gamma assays in the immunodiagnosis of tuberculosis: a systematic review."
"63",29650047,NA,"Care Cascade for targeted tuberculosis testing and linkage to Care in Homeless Populations in the United States: a meta-analysis."
"64",29637889,NA,"The effectiveness and cost-effectiveness of screening for latent tuberculosis among migrants in the EU/EEA: a systematic review."
"65",29256218,NA,"Comparison of Interferon-γ Release Assays and the Tuberculin Skin Test for Diagnosis of Tuberculosis in Human Immunodeficiency Virus: A Systematic Review."
"66",28875155,NA,"Risk of Tuberculosis Infection and Disease for Health Care Workers: An Updated Meta-Analysis."
"67",27755606,NA,"Correction: The Clinical Usefulness of Tuberculin Skin Test versus Interferon-Gamma Release Assays for Diagnosis of Latent Tuberculosis in HIV Patients: A Meta-Analysis."
