"","id","year","title"
"1",29025489,2018,"Evidence-based interventions to reduce tuberculosis stigma: a systematic review."
"2",27155179,2018,"Latent tuberculosis diagnostic tests to predict longitudinal tuberculosis during dialysis: a meta-analysis."
"3",26969306,2016,"Health-related quality of life and its association with medication adherence in active pulmonary tuberculosis- a systematic review of global literature with focus on South Africa."
"4",25670962,2015,"Tuberculin skin test and Quantiferon test agreement and influencing factors in tuberculosis screening of healthcare workers: a systematic review and meta-analysis."
"5",25216838,2015,"Chest radiography for active tuberculosis case finding in the homeless: a systematic review and meta-analysis."
"6",23232952,2014,"A systematic review and meta-analysis of the impact of tuberculosis on health-related quality of life."
"7",21846592,2012,"Predictive value of interferon-γ release assays for incident active tuberculosis: a systematic review and meta-analysis."
"8",21228420,2012,"Interferon-gamma release assays for tuberculosis screening of healthcare workers: a systematic review."
"9",21239993,2011,"Interferon-gamma release assays for the diagnosis of latent tuberculosis infection in HIV-infected individuals: a systematic review and meta-analysis."
"10",17339619,2007,"Meta-analysis: new tests for the diagnosis of latent tuberculosis infection: areas of uncertainty and recommendations for research."
"11",29801449,NA,"Effectiveness of control measures to prevent occupational tuberculosis infection in health care workers: a systematic review."
"12",28439071,NA,"Diabetes mellitus and the risk of multidrug resistant tuberculosis: a meta-analysis."
"13",27819962,NA,"Risk factors for tuberculosis after highly active antiretroviral treatment (HAART) initiation among HIV patients: A systematic review."
