"","id","year","title"
"1",28430796,2017,"Prevalence and associated factors of tuberculosis and diabetes mellitus comorbidity: A systematic review."
"2",27598345,2017,"Sex Differences in Tuberculosis Burden and Notifications in Low- and Middle-Income Countries: A Systematic Review and Meta-analysis."
"3",25807385,2016,"Factors associated with patient and provider delays for tuberculosis diagnosis and treatment in Asia: a systematic review and meta-analysis."
"4",24429308,2014,"A systematic review of global cultural variations in knowledge, attitudes and health responses to tuberculosis stigma."
"5",24021245,2014,"Systematic review and meta-analysis of the current evidence on the duration of protection by bacillus Calmette-Guérin vaccination against tuberculosis."
"6",21496360,2011,"A systematic review of risk factors for death in adults during and after tuberculosis treatment."
"7",20486998,2010,"Tuberculosis of the oral cavity: a systematic review."
"8",19105874,2009,"Risk factors associated with recent transmission of tuberculosis: systematic review and meta-analysis."
"9",18419882,2008,"Risk factors for clustering of tuberculosis cases: a systematic review of population-based molecular epidemiology studies."
"10",18245055,2008,"Low serum vitamin D levels and tuberculosis: a systematic review and meta-analysis."
"11",18194573,2008,"A systematic review of delay in the diagnosis and treatment of tuberculosis."
"12",17325294,2007,"Risk of tuberculosis from exposure to tobacco smoke: a systematic review and meta-analysis."
"13",16254056,2006,"Risk factors for multidrug resistant tuberculosis in Europe: a systematic review."
"14",16135735,2005,"Tuberculosis treatment outcomes in Europe: a systematic review."
"15",29740001,NA,"Predictors of In-Hospital Mortality among Patients with Pulmonary Tuberculosis: A Systematic Review and Meta-analysis."
"16",29338805,NA,"Risk factors for infectiousness of patients with tuberculosis: a systematic review and meta-analysis."
