"","id","year","title"
"1",29066494,2018,"Vitamin D Receptor ApaI (rs7975232) Polymorphism Confers Decreased Risk of Pulmonary Tuberculosis in Overall and African Population, but not in Asians: Evidence from a Meta-analysis."
"2",28533426,2018,"A reappraised meta-analysis of the genetic association between vitamin D receptor BsmI (rs1544410) polymorphism and pulmonary tuberculosis risk."
"3",25818340,2018,"Tuberculosis in South Asian communities in the UK: a systematic review of the literature."
"4",28096657,2017,"Vitamin D deficiency and the risk of tuberculosis: a meta-analysis."
"5",26705207,2016,"Vitamin D Receptor Gene FokI Polymorphism Contributes to Increasing the Risk of Tuberculosis: An Update Meta-Analysis."
"6",26485279,2016,"Vitamin D Receptor Gene FOKI Polymorphism Contributes to Increasing the Risk of HIV-Negative Tuberculosis: Evidence from a Meta-Analysis."
"7",26345844,2016,"Vitamin D receptor gene FokI, TaqI, BsmI, and ApaI polymorphisms and susceptibility to pulmonary tuberculosis: a meta-analysis."
"8",26333888,2016,"Vitamin D deficiencies among tuberculosis patients in Africa: A systematic review."
"9",26125816,2016,"Vitamin D receptor FokI gene polymorphism and tuberculosis susceptibility: a meta-analysis."
"10",25938683,2016,"A serum vitamin D level <25nmol/l pose high tuberculosis risk: a meta-analysis."
"11",26309718,2015,"Association of Vitamin D receptor gene TaqI polymorphisms with tuberculosis susceptibility: a meta-analysis."
"12",25189958,2015,"Impact of vitamin D supplementation on the outcome of tuberculosis treatment: a systematic review and meta-analysis of randomized controlled trials."
"13",25253922,2014,"Evaluating the Association between TaqI Variant of Vitamin D Receptor Gene and Susceptibility to Tuberculosis: A Meta-analysis."
"14",24571812,2014,"Vitamin D receptor ApaI gene polymorphism and tuberculosis susceptibility: a meta-analysis."
"15",24349552,2014,"Vitamin D receptor gene polymorphisms on the risk of tuberculosis, a meta-analysis of 29 case-control studies."
"16",23825591,2014,"Association of vitamin D receptor BsmI gene polymorphism with risk of tuberculosis: a meta-analysis of 15 studies."
"17",21477422,2012,"Polyneuropathy, anti-tuberculosis treatment and the role of pyridoxine in the HIV/AIDS era: a systematic review."
"18",20079241,2010,"[Meta-analysis of relationship of vitamin D receptor gene polymorphism and tuberculosis susceptibility]."
"19",20003690,2010,"Vitamin D receptor genetic polymorphisms and tuberculosis: updated systematic review and meta-analysis."
"20",18939987,2009,"Drugs and herbs given to prevent hepatotoxicity of tuberculosis therapy: systematic review of ingredients and evaluation studies."
"21",18245055,2008,"Low serum vitamin D levels and tuberculosis: a systematic review and meta-analysis."
"22",16229232,2006,"Meta-analysis of vitamin D receptor polymorphisms and pulmonary tuberculosis risk."
"23",29954353,NA,"Effects of vitamin D supplementation on the outcomes of patients with pulmonary tuberculosis: a systematic review and meta-analysis."
"24",29900130,NA,"Efficacy and Safety of Vitamin D Supplementation for Pulmonary Tuberculosis: A Systematic Review and Meta-analysis."
"25",28676032,NA,"Is Anticoagulation with Novel Oral Anticoagulants an Effective Treatment for Tuberculosis Patients not Achieving a Therapeutic Range with Vitamin K Antagonists? A Systematic Review."
"26",27800526,NA,"Vitamin D as Adjunctive Host-Directed Therapy in Tuberculosis: A Systematic Review."
"27",27695504,NA,"Vitamin D receptor gene FokI polymorphisms and tuberculosis susceptibility: a meta-analysis."
"28",25599020,NA,"Vitamin D Status, Receptor Gene Polymorphisms, and Supplementation on Tuberculosis: A Systematic Review of Case-Control Studies and Randomized Controlled Trials."
