"","id","year","title"
"1",28329197,2018,"Systematic Review, Meta-analysis, and Cost-effectiveness of Treatment of Latent Tuberculosis to Reduce Progression to Multidrug-Resistant Tuberculosis."
"2",28093078,2017,"Treatment outcomes for multidrug-resistant tuberculosis under DOTS-Plus: a systematic review and meta-analysis of published studies."
"3",27979784,2017,"Less research on tuberculosis than HIV and malaria when research agendas are poorly coordinated: a systematic review of research outputs from Cambodia."
"4",27884842,2017,"Predictors of in-hospital mortality among patients with pulmonary tuberculosis: a protocol of systematic review and meta-analysis of observational studies."
"5",27522233,2017,"The cascade of care in diagnosis and treatment of latent tuberculosis infection: a systematic review and meta-analysis."
"6",27283524,2017,"The effect of surgery on the outcome of treatment for multidrug-resistant tuberculosis: a systematic review and meta-analysis."
"7",26958026,2017,"A systematic review of published literature describing factors associated with tuberculosis recurrence in people living with HIV in Africa."
"8",27022741,2016,"Propensity Score-Based Approaches to Confounding by Indication in Individual Patient Data Meta-Analysis: Non-Standardized Treatment for Multidrug Resistant Tuberculosis."
"9",26954678,2016,"Impact of Molecular Diagnostics for Tuberculosis on Patient-Important Outcomes: A Systematic Review of Study Methodologies."
"10",26807933,2016,"Psycho-Socio-Economic Issues Challenging Multidrug Resistant Tuberculosis Patients: A Systematic Review."
"11",26683914,2016,"Indications to Hospital Admission and Isolation of Children With Possible or Defined Tuberculosis: Systematic Review and Proposed Recommendations for Pediatric Patients Living in Developed Countries. [Corrected]."
"12",26035557,2016,"Exposure to second-hand smoke and the risk of tuberculosis in children and adults: a systematic review and meta-analysis of 18 observational studies."
"13",24384902,2016,"Safety and availability of clofazimine in the treatment of multidrug and extensively drug-resistant tuberculosis: analysis of published guidance and meta-analysis of cohort studies."
"14",25455991,2015,"Pre-entry screening programmes for tuberculosis in migrants to low-incidence countries: a systematic review and meta-analysis."
"15",24903801,2015,"Indoor air pollution from solid fuel and tuberculosis: a systematic review and meta-analysis."
"16",24806518,2014,"Is there an effect of glucose lowering treatment on incidence and prognosis of tuberculosis? A systematic review."
"17",24523896,2014,"Association between IL-10 gene polymorphisms and susceptibility of tuberculosis: evidence based on a meta-analysis."
"18",24416139,2014,"Association between HIV/AIDS and multi-drug resistance tuberculosis: a systematic review and meta-analysis."
"19",24021245,2014,"Systematic review and meta-analysis of the current evidence on the duration of protection by bacillus Calmette-Guérin vaccination against tuberculosis."
"20",23846422,2014,"Treatment outcomes of pulmonary tuberculosis in the past decade in the mainland of China: a meta-analysis."
"21",23648258,2014,"[Meta analysis on the co-infection between Mycobacterium tuberculosis and HIV/AIDS in China]."
"22",23541151,2014,"Systematic review of clofazimine for the treatment of drug-resistant tuberculosis."
"23",23222871,2014,"Scoring systems using chest radiographic features for the diagnosis of pulmonary tuberculosis in adults: a systematic review."
"24",23487389,2013,"A meta-analysis of self-administered vs directly observed therapy effect on microbiologic failure, relapse, and acquired drug resistance in tuberculosis patients."
"25",23180033,2013,"Meta-analysis: the association between HIV infection and extrapulmonary tuberculosis."
"26",23144818,2013,"Use of anti-retroviral therapy in tuberculosis patients on second-line anti-TB regimens: a systematic review."
"27",22820541,2013,"An updated systematic review and meta-analysis on the treatment of active tuberculosis in patients with HIV infection."
"28",22952439,2012,"Multidrug resistant pulmonary tuberculosis treatment regimens and patient outcomes: an individual patient data meta-analysis of 9,153 patients."
"29",22183482,2012,"Knowledge of tuberculosis-treatment prescription of health workers: a systematic review."
"30",22005923,2012,"Prevalence of inappropriate tuberculosis treatment regimens: a systematic review."
"31",21996694,2011,"Interferon-γ release assays for active pulmonary tuberculosis diagnosis in adults in low- and middle-income countries: systematic review and meta-analysis."
"32",21722362,2011,"The impact of diabetes on tuberculosis treatment outcomes: a systematic review."
"33",21267059,2011,"Development of a standardized screening rule for tuberculosis in people living with HIV in resource-constrained settings: individual participant data meta-analysis of observational studies."
"34",20504231,2010,"Treatment outcomes among patients with extensively drug-resistant tuberculosis: systematic review and meta-analysis."
"35",18630984,2008,"Diabetes mellitus increases the risk of active tuberculosis: a systematic review of 13 observational studies."
"36",18266783,2008,"Timing of default from tuberculosis treatment: a systematic review."
"37",18250104,2008,"Long term efficacy of DOTS regimens for tuberculosis: systematic review."
"38",18245055,2008,"Low serum vitamin D levels and tuberculosis: a systematic review and meta-analysis."
"39",17227135,2007,"Tobacco smoke, indoor air pollution and tuberculosis: a systematic review and meta-analysis."
"40",16466032,2006,"Treatment of latent tuberculosis in persons at risk for multidrug-resistant tuberculosis: systematic review."
"41",29969463,NA,"Adherence interventions and outcomes of tuberculosis treatment: A systematic review and meta-analysis of trials and observational studies."
"42",29801449,NA,"Effectiveness of control measures to prevent occupational tuberculosis infection in health care workers: a systematic review."
"43",29595509,NA,"Comparison of different treatments for isoniazid-resistant tuberculosis: an individual patient data meta-analysis."
"44",29358443,NA,"Determinants of non-adherence to treatment for tuberculosis in high-income and middle-income settings: a systematic review protocol."
"45",29326332,NA,"The impact of digital health technologies on tuberculosis treatment: a systematic review."
"46",28902004,NA,"Antiretroviral Therapy in HIV-Infected Children With Tuberculosis: A Systematic Review."
